4.93269 40.1438 17.6347	40.8801 64.2365 75.736
6.89711 42.169 17.6758	-67.6731 64.6324 35.4281
4.91902 44.0953 17.6441	-101.212 56.6692 57.4969
6.85314 46.0323 17.6694	-60.9802 34.0291 -58.7917
8.84945 36.1844 17.6757	-109.667 136.706 -24.975
10.8217 38.1908 17.6453	37.0069 14.0408 9.35296
8.83423 40.204 17.6618	52.6561 -134.33 -8.96551
10.7782 42.1166 17.6883	18.0397 -77.6626 35.8189
8.8418 44.0647 17.6997	-107.569 -14.9458 100.047
10.7663 46.0031 17.5934	-15.8753 -27.8409 178.429
0.966458 38.1873 19.584	71.0287 -54.7864 -46.506
2.95239 36.2809 19.5947	-34.6959 -92.6061 -39.2803
1.055 42.0593 19.5406	-124.404 -8.99598 7.66071
3.00823 40.1036 19.5029	-22.5449 -140.446 -158.046
0.981974 46.0596 19.5535	187.403 98.7434 -38.1271
2.9202 44.1334 19.5863	106.232 96.7808 -49.2093
4.9202 38.1743 19.5568	-84.8321 110.9 95.6186
6.83486 36.2165 19.6577	18.0071 -26.0135 53.3338
4.9286 42.1629 19.631	42.4332 49.6008 -123.719
6.89513 40.1874 19.5145	-12.5021 32.775 41.3163
4.8588 45.9935 19.6509	30.8395 -33.4309 70.5862
6.82504 44.1057 19.6615	15.8634 -57.7107 105.017
8.73234 38.1908 19.5745	30.5898 121.955 -67.5063
10.7723 36.1835 19.5846	-45.4053 90.5068 104.423
8.82082 42.1635 19.6035	168.749 -62.2781 -20.6218
10.7681 40.2032 19.647	-40.4679 -48.6741 -29.9276
8.85289 46.005 19.6923	44.5345 -33.3685 -11.037
10.7967 44.0692 19.5863	98.7509 -6.50236 184.911
0.9025 36.2645 21.5489	7.35795 -36.1971 -133.18
2.945 38.1768 21.5297	-18.9694 120.05 9.54844
0.972943 40.1845 21.5171	80.1088 83.4868 15.4941
2.93256 42.1522 21.5391	-146.829 30.9858 -30.2763
0.951387 44.0785 21.5411	26.017 -105.93 4.22235
2.85035 46.137 21.5939	16.5094 -47.3677 -19.9436
4.89509 36.2271 21.6617	-49.5997 -3.73568 27.7231
6.831 38.2107 21.5464	-17.7748 -67.8677 -61.2846
4.9372 40.1093 21.5592	-104.686 -144.933 -71.4363
6.88788 41.9839 21.584	-114.369 -20.5521 -77.1363
4.82679 44.1163 21.6568	-36.284 -30.5953 53.4197
6.82355 46.0029 21.654	127.246 -26.2398 -55.7393
8.8735 36.24 21.5586	146.929 96.7292 -90.7345
10.7828 38.1587 21.5014	89.4031 -46.3759 -49.8537
8.86924 40.1058 21.6586	6.81602 62.4679 53.012
10.8107 42.1834 21.609	-12.6738 49.8956 113.991
8.74372 44.0484 21.6665	70.5113 9.88716 54.0833
10.8713 45.9381 21.6397	-75.0969 27.1864 -82.2519
12.6763 0.93636 13.7047	-75.7966 -110.276 123.293
14.6789 2.80607 13.7809	5.96776 -30.4663 29.1762
12.69 4.79126 13.5759	-77.2744 15.0817 -56.4911
14.6331 6.85226 13.7148	-13.0073 -75.9644 -6.07296
12.7209 8.88946 13.7055	30.1539 -110.787 58.5497
14.6564 10.8338 13.6203	-34.1562 82.4797 13.6903
16.7167 0.927042 13.733	44.2057 -28.165 -8.62251
18.5653 2.96315 13.7562	45.0145 26.1505 -21.2456
16.5502 4.88858 13.7171	-16.7134 -53.492 -76.9182
18.5636 6.79337 13.7813	22.6657 168.136 59.3791
16.6498 8.82206 13.6953	-19.6871 -156.824 -135.321
18.5783 10.7966 13.6473	-42.4472 -17.649 -78.8404
20.434 0.994226 13.7164	78.0077 -33.0695 -44.2096
22.5387 2.88562 13.7351	84.2628 -4.66368 -62.8343
20.5838 4.87247 13.6795	-94.9203 -123.096 -15.3496
22.4717 6.86116 13.6194	27.0877 -154.266 102.561
20.4785 8.84244 13.6104	-78.5729 -99.3955 59.5969
22.5061 10.7321 13.7431	-100.85 59.1953 -19.85
12.7362 2.84927 15.737	-34.4214 38.4114 -140.86
14.6776 0.920119 15.7404	3.7535 92.6717 -72.4528
12.7081 6.85084 15.7187	62.5103 156.751 140.956
14.6214 4.83332 15.7267	-164.713 22.2895 3.85362
12.7386 10.8452 15.5817	33.6156 94.5951 76.1206
14.6389 8.77057 15.6963	11.2649 87.463 141.784
16.6388 2.93192 15.6907	23.2135 40.9959 -33.2175
18.6113 1.03947 15.7748	-80.9032 54.3732 -11.1594
16.6016 6.8213 15.7373	71.5325 -118.581 -115.57
18.6127 4.86937 15.7596	-110.485 -59.1373 18.6333
16.6049 10.7863 15.7047	26.0869 100.329 -33.8619
18.6155 8.8081 15.6433	17.6362 -99.6011 200.991
20.5734 2.91654 15.68	0.0158343 -70.7138 -28.5447
22.5217 1.04866 15.6948	5.14151 72.3658 3.15825
20.5173 6.8295 15.6801	82.1629 -21.3537 25.1159
22.5038 4.97405 15.7057	-60.9006 128.486 -101.19
20.5113 10.8181 15.6527	7.66673 1.55672 42.1348
22.5039 8.78692 15.6862	90.4362 -12.3068 23.186
12.694 0.925227 17.7332	-35.3496 -52.7593 139.244
14.6735 2.92958 17.6905	100.054 8.95547 -14.8682
12.7027 4.86455 17.6891	38.3259 -0.649394 76.6716
14.6215 6.84243 17.6663	-53.1115 4.22722 241.409
12.6936 8.84807 17.6254	69.8468 -22.0163 97.934
14.6314 10.7597 17.6153	22.67 -123.917 18.5757
16.616 0.993187 17.7357	-135.573 -120.336 159.414
18.5583 2.9565 17.678	76.0382 -103.719 15.3787
